,V1,V2,V3,V4,V5,V6,V7
1,8.963,4.159,8.771,25.706,17.916,12.652,5.977
2,11.822,16.511,17.799,13.709,13.617,15.443,9.007
3,5.338,4.556,20.604,14.773,14.46,11.028,17.299
4,14.145,18.339,3.729,21.589,6.523,18.453,17.795
5,11.355,11.146,24.702,6.512,20.35,15.92,21.606
6,13.143,21.33,5.082,11.958,12.161,13.727,12.733
7,20.692,11.9,16.171,16.935,14.67,33.402,28.097
8,8.711,16.051,14.802,14.664,23.152,14.457,27.876
9,30.4,22.274,23.807,14.793,21.966,24.945,14.335
10,26.813,11.917,9.773,11.656,6.998,36.041,28.303
